LOCALITY_NAME,POSTCODE,STATE_ABBREVIATION,full_suburb
Cannon Hill,4170,QLD,"Cannon Hill, QLD, 4170"
Cannon Valley,4800,QLD,"Cannon Valley, QLD, 4800"
Cannons Creek,3977,VIC,"Cannons Creek, VIC, 3977"
Cannonvale,4802,QLD,"Cannonvale, QLD, 4802"
Cannum,3393,VIC,"Cannum, VIC, 3393"
Canobolas,2800,NSW,"Canobolas, NSW, 2800"
Canoelands,2157,NSW,"Canoelands, NSW, 2157"
Canonba,2825,NSW,"Canonba, NSW, 2825"
Canoona,4702,QLD,"Canoona, QLD, 4702"
Canowie,5419,SA,"Canowie, SA, 5419"
Canowie Belt,5420,SA,"Canowie Belt, SA, 5420"
Canowindra,2804,NSW,"Canowindra, NSW, 2804"
Canteen Creek,872,NT,"Canteen Creek, NT, 872"
Canterbury,2193,NSW,"Canterbury, NSW, 2193"
Canterbury,3126,VIC,"Canterbury, VIC, 3126"
Canton Beach,2263,NSW,"Canton Beach, NSW, 2263"
Canunda,5280,SA,"Canunda, SA, 5280"
Canungra,4275,QLD,"Canungra, QLD, 4275"
Canyonleigh,2577,NSW,"Canyonleigh, NSW, 2577"
Capalaba,4157,QLD,"Capalaba, QLD, 4157"
Caparra,2429,NSW,"Caparra, NSW, 2429"
Cape Arid,6452,WA,"Cape Arid, WA, 6452"
Cape Barren Island,7257,TAS,"Cape Barren Island, TAS, 7257"
Cape Borda,5223,SA,"Cape Borda, SA, 5223"
Cape Bridgewater,3305,VIC,"Cape Bridgewater, VIC, 3305"
Cape Burney,6532,WA,"Cape Burney, WA, 6532"
Cape Clear,3351,VIC,"Cape Clear, VIC, 3351"
Cape Cleveland,4810,QLD,"Cape Cleveland, QLD, 4810"
Cape Conran,3888,VIC,"Cape Conran, VIC, 3888"
Cape Conway,4800,QLD,"Cape Conway, QLD, 4800"
Cape Douglas,5291,SA,"Cape Douglas, SA, 5291"
Cape Gloucester,4800,QLD,"Cape Gloucester, QLD, 4800"
Cape Hillsborough,4740,QLD,"Cape Hillsborough, QLD, 4740"
Cape Jaffa,5275,SA,"Cape Jaffa, SA, 5275"
Cape Jervis,5204,SA,"Cape Jervis, SA, 5204"
Cape Le Grand,6450,WA,"Cape Le Grand, WA, 6450"
Cape Otway,3233,VIC,"Cape Otway, VIC, 3233"
Cape Paterson,3995,VIC,"Cape Paterson, VIC, 3995"
Cape Portland,7264,TAS,"Cape Portland, TAS, 7264"
Cape Schanck,3939,VIC,"Cape Schanck, VIC, 3939"
Cape Tribulation,4873,QLD,"Cape Tribulation, QLD, 4873"
Cape Woolamai,3925,VIC,"Cape Woolamai, VIC, 3925"
Capeen Creek,2469,NSW,"Capeen Creek, NSW, 2469"
Capel,6271,WA,"Capel, WA, 6271"
Capel River,6271,WA,"Capel River, WA, 6271"
Capel Sound,3940,VIC,"Capel Sound, VIC, 3940"
Capella,4723,QLD,"Capella, QLD, 4723"
Capels Crossing,3579,VIC,"Capels Crossing, VIC, 3579"
Capertee,2846,NSW,"Capertee, NSW, 2846"
Capital Hill,2600,ACT,"Capital Hill, ACT, 2600"
Capoompeta,2371,NSW,"Capoompeta, NSW, 2371"
Capricorn,6642,WA,"Capricorn, WA, 6642"
Captain Creek,4677,QLD,"Captain Creek, QLD, 4677"
Captains Flat,2623,NSW,"Captains Flat, NSW, 2623"
Captains Mountain,4357,QLD,"Captains Mountain, QLD, 4357"
Caraban,6041,WA,"Caraban, WA, 6041"
Carabooda,6033,WA,"Carabooda, WA, 6033"
Carabost,2650,NSW,"Carabost, NSW, 2650"
Carag Carag,3623,VIC,"Carag Carag, VIC, 3623"
Caragabal,2810,NSW,"Caragabal, NSW, 2810"
Caralue,5641,SA,"Caralue, SA, 5641"
Caralulup,3371,VIC,"Caralulup, VIC, 3371"
Caramut,3274,VIC,"Caramut, VIC, 3274"
Carani,6569,WA,"Carani, WA, 6569"
Carapooee,3477,VIC,"Carapooee, VIC, 3477"
Carapooee West,3477,VIC,"Carapooee West, VIC, 3477"
Carapook,3312,VIC,"Carapook, VIC, 3312"
Caravonica,4878,QLD,"Caravonica, QLD, 4878"
Carawa,5680,SA,"Carawa, SA, 5680"
Carbine Creek,4723,QLD,"Carbine Creek, QLD, 4723"
Carboor,3678,VIC,"Carboor, VIC, 3678"
Carbrook,4130,QLD,"Carbrook, QLD, 4130"
Carbunup River,6280,WA,"Carbunup River, WA, 6280"
Carcalgong,2850,NSW,"Carcalgong, NSW, 2850"
Carcoar,2791,NSW,"Carcoar, NSW, 2791"
Carcuma,5301,SA,"Carcuma, SA, 5301"
Cardiff,2285,NSW,"Cardiff, NSW, 2285"
Cardiff,6225,WA,"Cardiff, WA, 6225"
Cardiff Heights,2285,NSW,"Cardiff Heights, NSW, 2285"
Cardiff South,2285,NSW,"Cardiff South, NSW, 2285"
Cardigan,3352,VIC,"Cardigan, VIC, 3352"
Cardigan Village,3352,VIC,"Cardigan Village, VIC, 3352"
Cardinia,3978,VIC,"Cardinia, VIC, 3978"
Cardross,3496,VIC,"Cardross, VIC, 3496"
Cardstone,4854,QLD,"Cardstone, QLD, 4854"
Cardup,6122,WA,"Cardup, WA, 6122"
Cardwell,4849,QLD,"Cardwell, QLD, 4849"
Carew,5270,SA,"Carew, SA, 5270"
Carey Bay,2283,NSW,"Carey Bay, NSW, 2283"
Carey Gully,5144,SA,"Carey Gully, SA, 5144"
Carey Park,6230,WA,"Carey Park, WA, 6230"
Cargerie,3334,VIC,"Cargerie, VIC, 3334"
Cargo,2800,NSW,"Cargo, NSW, 2800"
Carina,3512,VIC,"Carina, VIC, 3512"
Carina,4152,QLD,"Carina, QLD, 4152"
Carina Heights,4152,QLD,"Carina Heights, QLD, 4152"
Carinda,2831,NSW,"Carinda, NSW, 2831"
Carindale,4152,QLD,"Carindale, QLD, 4152"
Carine,6020,WA,"Carine, WA, 6020"
Caringal,3825,VIC,"Caringal, VIC, 3825"
Caringbah,2229,NSW,"Caringbah, NSW, 2229"
Caringbah South,2229,NSW,"Caringbah South, NSW, 2229"
Carisbrook,3464,VIC,"Carisbrook, VIC, 3464"
Carlaminda,2630,NSW,"Carlaminda, NSW, 2630"
Carlingford,2118,NSW,"Carlingford, NSW, 2118"
Carlisle,6101,WA,"Carlisle, WA, 6101"
Carlisle River,3239,VIC,"Carlisle River, VIC, 3239"
Carlotta,6275,WA,"Carlotta, WA, 6275"
Carlsruhe,3442,VIC,"Carlsruhe, VIC, 3442"
Carlton,2218,NSW,"Carlton, NSW, 2218"
Carlton,3053,VIC,"Carlton, VIC, 3053"
Carlton,7173,TAS,"Carlton, TAS, 7173"
Carlton North,3054,VIC,"Carlton North, VIC, 3054"
Carlton River,7173,TAS,"Carlton River, TAS, 7173"
Carlyle,3685,VIC,"Carlyle, VIC, 3685"
Carmel,6076,WA,"Carmel, WA, 6076"
Carmila,4739,QLD,"Carmila, QLD, 4739"
Carmoo,4852,QLD,"Carmoo, QLD, 4852"
Carnamah,6517,WA,"Carnamah, WA, 6517"
Carnarvon,6701,WA,"Carnarvon, WA, 6701"
Carnarvon Park,4702,QLD,"Carnarvon Park, QLD, 4702"
Carnegie,3163,VIC,"Carnegie, VIC, 3163"
Carnes Hill,2171,NSW,"Carnes Hill, NSW, 2171"
Carneys Creek,4310,QLD,"Carneys Creek, QLD, 4310"
Carngham,3351,VIC,"Carngham, VIC, 3351"
Carnham,2460,NSW,"Carnham, NSW, 2460"
Carole Park,4300,QLD,"Carole Park, QLD, 4300"
Caroline,5291,SA,"Caroline, SA, 5291"
Caroline Crossing,4477,QLD,"Caroline Crossing, QLD, 4477"
Caroline Springs,3023,VIC,"Caroline Springs, VIC, 3023"
Carool,2486,NSW,"Carool, NSW, 2486"
Caroona,2343,NSW,"Caroona, NSW, 2343"
Carpendale,4344,QLD,"Carpendale, QLD, 4344"
Carpendeit,3260,VIC,"Carpendeit, VIC, 3260"
Carpentaria,4823,QLD,"Carpentaria, QLD, 4823"
Carpenter Rocks,5291,SA,"Carpenter Rocks, SA, 5291"
Carrabin,6423,WA,"Carrabin, WA, 6423"
Carrabolla,2311,NSW,"Carrabolla, NSW, 2311"
Carrai,2440,NSW,"Carrai, NSW, 2440"
Carrajung,3844,VIC,"Carrajung, VIC, 3844"
Carrajung Lower,3844,VIC,"Carrajung Lower, VIC, 3844"
Carrajung South,3844,VIC,"Carrajung South, VIC, 3844"
Carramar,2163,NSW,"Carramar, NSW, 2163"
Carramar,6031,WA,"Carramar, WA, 6031"
Carranballac,3361,VIC,"Carranballac, VIC, 3361"
Carrandotta,4825,QLD,"Carrandotta, QLD, 4825"
Carrara,4211,QLD,"Carrara, QLD, 4211"
Carrarang,6532,WA,"Carrarang, WA, 6532"
Carrathool,2711,NSW,"Carrathool, NSW, 2711"
Carrick,2580,NSW,"Carrick, NSW, 2580"
Carrick,7291,TAS,"Carrick, TAS, 7291"
Carrickalinga,5204,SA,"Carrickalinga, SA, 5204"
Carrieton,5432,SA,"Carrieton, SA, 5432"
Carriewerloo,5715,SA,"Carriewerloo, SA, 5715"
Carrington,2294,NSW,"Carrington, NSW, 2294"
Carrington,2324,NSW,"Carrington, NSW, 2324"
Carrington,4883,QLD,"Carrington, QLD, 4883"
Carrington Falls,2577,NSW,"Carrington Falls, NSW, 2577"
Carroll,2340,NSW,"Carroll, NSW, 2340"
Carrolls Creek,2372,NSW,"Carrolls Creek, NSW, 2372"
Carrolup,6317,WA,"Carrolup, WA, 6317"
Carron,3480,VIC,"Carron, VIC, 3480"
Carrowbrook,2330,NSW,"Carrowbrook, NSW, 2330"
Carrs Creek,2460,NSW,"Carrs Creek, NSW, 2460"
Carrs Island,2460,NSW,"Carrs Island, NSW, 2460"
Carrs Peninsula,2460,NSW,"Carrs Peninsula, NSW, 2460"
Carruchan,4816,QLD,"Carruchan, QLD, 4816"
Carrum,3197,VIC,"Carrum, VIC, 3197"
Carrum Downs,3201,VIC,"Carrum Downs, VIC, 3201"
Carseldine,4034,QLD,"Carseldine, QLD, 4034"
Carss Park,2221,NSW,"Carss Park, NSW, 2221"
Carstairs,4806,QLD,"Carstairs, QLD, 4806"
Carters Ridge,4563,QLD,"Carters Ridge, QLD, 4563"
Cartmeticup,6316,WA,"Cartmeticup, WA, 6316"
Cartwright,2168,NSW,"Cartwright, NSW, 2168"
Cartwrights Hill,2650,NSW,"Cartwrights Hill, NSW, 2650"
Carwarp,3494,VIC,"Carwarp, VIC, 3494"
Carwell,2849,NSW,"Carwell, NSW, 2849"
Carwoola,2620,NSW,"Carwoola, NSW, 2620"
Cascade,2453,NSW,"Cascade, NSW, 2453"
Cascade,6450,WA,"Cascade, WA, 6450"
Casey,2913,ACT,"Casey, ACT, 2913"
Cashmere,4500,QLD,"Cashmere, QLD, 4500"
Cashmore,3305,VIC,"Cashmore, VIC, 3305"
Casino,2470,NSW,"Casino, NSW, 2470"
Cassilis,2329,NSW,"Cassilis, NSW, 2329"
Cassilis,3898,VIC,"Cassilis, VIC, 3898"
Cassini,5223,SA,"Cassini, SA, 5223"
Cassowary,4873,QLD,"Cassowary, QLD, 4873"
Castambul,5076,SA,"Castambul, SA, 5076"
Castaways Beach,4567,QLD,"Castaways Beach, QLD, 4567"
Castella,3777,VIC,"Castella, VIC, 3777"
Casterton,3311,VIC,"Casterton, VIC, 3311"
Castle Cove,2069,NSW,"Castle Cove, NSW, 2069"
Castle Creek,3691,VIC,"Castle Creek, VIC, 3691"
Castle Creek,4715,QLD,"Castle Creek, QLD, 4715"
Castle Donnington,3585,VIC,"Castle Donnington, VIC, 3585"
Castle Doyle,2350,NSW,"Castle Doyle, NSW, 2350"
Castle Forbes Bay,7116,TAS,"Castle Forbes Bay, TAS, 7116"
Castle Hill,2154,NSW,"Castle Hill, NSW, 2154"
Castle Hill,4810,QLD,"Castle Hill, QLD, 4810"
Castle Rock,2333,NSW,"Castle Rock, NSW, 2333"
Castlecrag,2068,NSW,"Castlecrag, NSW, 2068"
Castlemaine,3450,VIC,"Castlemaine, VIC, 3450"
Castlereagh,2749,NSW,"Castlereagh, NSW, 2749"
Castletown,6450,WA,"Castletown, WA, 6450"
Castra,7315,TAS,"Castra, TAS, 7315"
Casuarina,2487,NSW,"Casuarina, NSW, 2487"
Casuarina,6167,WA,"Casuarina, WA, 6167"
Casuarina,810,NT,"Casuarina, NT, 810"
Casula,2170,NSW,"Casula, NSW, 2170"
Cataby,6507,WA,"Cataby, WA, 6507"
Catalina,2536,NSW,"Catalina, NSW, 2536"
Catani,3981,VIC,"Catani, VIC, 3981"
Cataract,2560,NSW,"Cataract, NSW, 2560"
Cathcart,2632,NSW,"Cathcart, NSW, 2632"
Cathcart,3377,VIC,"Cathcart, VIC, 3377"
Catherine Field,2557,NSW,"Catherine Field, NSW, 2557"
Catherine Hill Bay,2281,NSW,"Catherine Hill Bay, NSW, 2281"
Cathkin,3714,VIC,"Cathkin, VIC, 3714"
Cathundral,2823,NSW,"Cathundral, NSW, 2823"
Cattai,2756,NSW,"Cattai, NSW, 2756"
Catterick,6255,WA,"Catterick, WA, 6255"
Cattle Creek,2339,NSW,"Cattle Creek, NSW, 2339"
Cattle Creek,4407,QLD,"Cattle Creek, QLD, 4407"
Cattle Creek,4626,QLD,"Cattle Creek, QLD, 4626"
Catumnal,3537,VIC,"Catumnal, VIC, 3537"
Caulfield,3162,VIC,"Caulfield, VIC, 3162"
Caulfield East,3145,VIC,"Caulfield East, VIC, 3145"
Caulfield North,3161,VIC,"Caulfield North, VIC, 3161"
Caulfield South,3162,VIC,"Caulfield South, VIC, 3162"
Caurnamont,5238,SA,"Caurnamont, SA, 5238"
Causeway Lake,4703,QLD,"Causeway Lake, QLD, 4703"
Cavan,2582,NSW,"Cavan, NSW, 2582"
Cavan,5094,SA,"Cavan, SA, 5094"
Caveat,3660,VIC,"Caveat, VIC, 3660"
Cavenagh,5422,SA,"Cavenagh, SA, 5422"
Cavendish,3314,VIC,"Cavendish, VIC, 3314"
Caversham,6055,WA,"Caversham, WA, 6055"
Caves Beach,2281,NSW,"Caves Beach, NSW, 2281"
Caveside,7304,TAS,"Caveside, TAS, 7304"
Caveton,5291,SA,"Caveton, SA, 5291"
Cawarral,4702,QLD,"Cawarral, QLD, 4702"
Cawdor,2570,NSW,"Cawdor, NSW, 2570"
Cawdor,4352,QLD,"Cawdor, QLD, 4352"
Cawongla,2474,NSW,"Cawongla, NSW, 2474"
Cecil Hills,2171,NSW,"Cecil Hills, NSW, 2171"
Cecil Park,2178,NSW,"Cecil Park, NSW, 2178"
Cecil Plains,4407,QLD,"Cecil Plains, QLD, 4407"
Cedar Brush Creek,2259,NSW,"Cedar Brush Creek, NSW, 2259"
Cedar Creek,2325,NSW,"Cedar Creek, NSW, 2325"
Cedar Creek,2484,NSW,"Cedar Creek, NSW, 2484"
Cedar Creek,4207,QLD,"Cedar Creek, QLD, 4207"
Cedar Creek,4520,QLD,"Cedar Creek, QLD, 4520"
Cedar Grove,4285,QLD,"Cedar Grove, QLD, 4285"
Cedar Party,2429,NSW,"Cedar Party, NSW, 2429"
Cedar Pocket,4570,QLD,"Cedar Pocket, QLD, 4570"
Cedar Point,2474,NSW,"Cedar Point, NSW, 2474"
Cedar Vale,4285,QLD,"Cedar Vale, QLD, 4285"
Cedarton,4514,QLD,"Cedarton, QLD, 4514"
Ceduna,5690,SA,"Ceduna, SA, 5690"
Ceduna Waters,5690,SA,"Ceduna Waters, SA, 5690"
Cells River,2424,NSW,"Cells River, NSW, 2424"
Cement Mills,4352,QLD,"Cement Mills, QLD, 4352"
Centenary Heights,4350,QLD,"Centenary Heights, QLD, 4350"
Centennial Park,2021,NSW,"Centennial Park, NSW, 2021"
Centennial Park,6330,WA,"Centennial Park, WA, 6330"
Central Colo,2756,NSW,"Central Colo, NSW, 2756"
Central Macdonald,2775,NSW,"Central Macdonald, NSW, 2775"
Central Mangrove,2250,NSW,"Central Mangrove, NSW, 2250"
Central Plateau,7304,TAS,"Central Plateau, TAS, 7304"
Central Tilba,2546,NSW,"Central Tilba, NSW, 2546"
Ceratodus,4627,QLD,"Ceratodus, QLD, 4627"
Ceres,3221,VIC,"Ceres, VIC, 3221"
Cervantes,6511,WA,"Cervantes, WA, 6511"
Cessnock,2325,NSW,"Cessnock, NSW, 2325"
Cethana,7306,TAS,"Cethana, TAS, 7306"
Chadstone,3148,VIC,"Chadstone, VIC, 3148"
Chadwick,6450,WA,"Chadwick, WA, 6450"
Chaelundi,2460,NSW,"Chaelundi, NSW, 2460"
Chaffey,5341,SA,"Chaffey, SA, 5341"
Chahpingah,4610,QLD,"Chahpingah, QLD, 4610"
Chain Of Lagoons,7215,TAS,"Chain Of Lagoons, TAS, 7215"
Chain Of Ponds,5231,SA,"Chain Of Ponds, SA, 5231"
Chain Valley Bay,2259,NSW,"Chain Valley Bay, NSW, 2259"
Chakola,2630,NSW,"Chakola, NSW, 2630"
Chambers Flat,4133,QLD,"Chambers Flat, QLD, 4133"
Chambigne,2460,NSW,"Chambigne, NSW, 2460"
Champion Lakes,6111,WA,"Champion Lakes, WA, 6111"
Chances Plain,4413,QLD,"Chances Plain, QLD, 4413"
Chandada,5680,SA,"Chandada, SA, 5680"
Chandler,4155,QLD,"Chandler, QLD, 4155"
Chandler,6490,WA,"Chandler, WA, 6490"
Chandlers Creek,3890,VIC,"Chandlers Creek, VIC, 3890"
Chandlers Hill,5159,SA,"Chandlers Hill, SA, 5159"
Changerup,6394,WA,"Changerup, WA, 6394"
Channel Island,822,NT,"Channel Island, NT, 822"
Channybearup,6260,WA,"Channybearup, WA, 6260"
Chapel Hill,4069,QLD,"Chapel Hill, QLD, 4069"
Chapel Hill,5153,SA,"Chapel Hill, SA, 5153"
Chapman,2611,ACT,"Chapman, ACT, 2611"
Chapman Bore,5253,SA,"Chapman Bore, SA, 5253"
Chapman Hill,6280,WA,"Chapman Hill, WA, 6280"
Chapple Vale,3239,VIC,"Chapple Vale, VIC, 3239"
Charam,3318,VIC,"Charam, VIC, 3318"
Charbon,2848,NSW,"Charbon, NSW, 2848"
Charlemont,3217,VIC,"Charlemont, VIC, 3217"
Charleroi,3695,VIC,"Charleroi, VIC, 3695"
Charles Darwin,820,NT,"Charles Darwin, NT, 820"
Charles Sturt University,2678,NSW,"Charles Sturt University, NSW, 2678"
Charleston,5244,SA,"Charleston, SA, 5244"
Charlestown,2290,NSW,"Charlestown, NSW, 2290"
Charlestown,4608,QLD,"Charlestown, QLD, 4608"
Charleville,4470,QLD,"Charleville, QLD, 4470"
Charley Creek,6239,WA,"Charley Creek, WA, 6239"
Charleys Forest,2622,NSW,"Charleys Forest, NSW, 2622"
Charlotte,822,NT,"Charlotte, NT, 822"
Charlotte Bay,2428,NSW,"Charlotte Bay, NSW, 2428"
Charlotte Cove,7112,TAS,"Charlotte Cove, TAS, 7112"
Charlotte Pass,2624,NSW,"Charlotte Pass, NSW, 2624"
Charlton,2795,NSW,"Charlton, NSW, 2795"
Charlton,3525,VIC,"Charlton, VIC, 3525"
Charlton,4350,QLD,"Charlton, QLD, 4350"
Charlton Gully,5607,SA,"Charlton Gully, SA, 5607"
Charlwood,4309,QLD,"Charlwood, QLD, 4309"
Charmhaven,2263,NSW,"Charmhaven, NSW, 2263"
Charnwood,2615,ACT,"Charnwood, ACT, 2615"
Charra,5690,SA,"Charra, SA, 5690"
Charters Towers City,4820,QLD,"Charters Towers City, QLD, 4820"
Chasm Creek,7321,TAS,"Chasm Creek, TAS, 7321"
Chatham Valley,2787,NSW,"Chatham Valley, NSW, 2787"
Chatsbury,2580,NSW,"Chatsbury, NSW, 2580"
Chatswood,2067,NSW,"Chatswood, NSW, 2067"
Chatswood West,2067,NSW,"Chatswood West, NSW, 2067"
Chatsworth,2469,NSW,"Chatsworth, NSW, 2469"
Chatsworth,3379,VIC,"Chatsworth, VIC, 3379"
Chatsworth,4570,QLD,"Chatsworth, QLD, 4570"
Cheero Point,2083,NSW,"Cheero Point, NSW, 2083"
Cheeseborough,4702,QLD,"Cheeseborough, QLD, 4702"
Chelmer,4068,QLD,"Chelmer, QLD, 4068"
Chelmsford,4606,QLD,"Chelmsford, QLD, 4606"
Chelona,4740,QLD,"Chelona, QLD, 4740"
Chelsea,3196,VIC,"Chelsea, VIC, 3196"
Chelsea Heights,3196,VIC,"Chelsea Heights, VIC, 3196"
Cheltenham,2119,NSW,"Cheltenham, NSW, 2119"
Cheltenham,3192,VIC,"Cheltenham, VIC, 3192"
Cheltenham,4627,QLD,"Cheltenham, QLD, 4627"
Cheltenham,5014,SA,"Cheltenham, SA, 5014"
Chepstowe,3351,VIC,"Chepstowe, VIC, 3351"
Cherbourg,4605,QLD,"Cherbourg, QLD, 4605"
Chermside,4032,QLD,"Chermside, QLD, 4032"
Chermside West,4032,QLD,"Chermside West, QLD, 4032"
Cherokee,3434,VIC,"Cherokee, VIC, 3434"
Cherry Creek,4314,QLD,"Cherry Creek, QLD, 4314"
Cherry Gardens,5157,SA,"Cherry Gardens, SA, 5157"
Cherry Gully,4370,QLD,"Cherry Gully, QLD, 4370"
Cherry Tree Hill,2360,NSW,"Cherry Tree Hill, NSW, 2360"
Cherry Tree Pool,6395,WA,"Cherry Tree Pool, WA, 6395"
Cherrybrook,2126,NSW,"Cherrybrook, NSW, 2126"
Cherrypool,3401,VIC,"Cherrypool, VIC, 3401"
Cherryville,5134,SA,"Cherryville, SA, 5134"
Cherwell,4660,QLD,"Cherwell, QLD, 4660"
Cheshunt,3678,VIC,"Cheshunt, VIC, 3678"
Cheshunt South,3678,VIC,"Cheshunt South, VIC, 3678"
Chesney Vale,3725,VIC,"Chesney Vale, VIC, 3725"
Chester Hill,2162,NSW,"Chester Hill, NSW, 2162"
Chetwynd,3312,VIC,"Chetwynd, VIC, 3312"
Chevallum,4555,QLD,"Chevallum, QLD, 4555"
Chewko,4880,QLD,"Chewko, QLD, 4880"
Chewton,3451,VIC,"Chewton, VIC, 3451"
Chewton Bushlands,3451,VIC,"Chewton Bushlands, VIC, 3451"
Cheynes,6328,WA,"Cheynes, WA, 6328"
Chichester,2420,NSW,"Chichester, NSW, 2420"
Chidlow,6556,WA,"Chidlow, WA, 6556"
Chifley,2036,NSW,"Chifley, NSW, 2036"
Chifley,2606,ACT,"Chifley, ACT, 2606"
Chigwell,7011,TAS,"Chigwell, TAS, 7011"
Chilcotts Creek,2339,NSW,"Chilcotts Creek, NSW, 2339"
Chilcotts Grass,2480,NSW,"Chilcotts Grass, NSW, 2480"
Childers,3824,VIC,"Childers, VIC, 3824"
Childers,4660,QLD,"Childers, QLD, 4660"
Chilla Well,872,NT,"Chilla Well, NT, 872"
Chillagoe,4871,QLD,"Chillagoe, QLD, 4871"
Chillingham,2484,NSW,"Chillingham, NSW, 2484"
Chillingollah,3585,VIC,"Chillingollah, VIC, 3585"
Chilpenunda,5660,SA,"Chilpenunda, SA, 5660"
Chiltern,3683,VIC,"Chiltern, VIC, 3683"
Chiltern Valley,3683,VIC,"Chiltern Valley, VIC, 3683"
Chinaman Wells,5573,SA,"Chinaman Wells, SA, 5573"
Chinangin,3544,VIC,"Chinangin, VIC, 3544"
Chinbingina,5680,SA,"Chinbingina, SA, 5680"
Chinchilla,4413,QLD,"Chinchilla, QLD, 4413"
Chinderah,2487,NSW,"Chinderah, NSW, 2487"
Chinghee Creek,4285,QLD,"Chinghee Creek, QLD, 4285"
Chinkapook,3546,VIC,"Chinkapook, VIC, 3546"
Chinnock,2550,NSW,"Chinnock, NSW, 2550"
Chintin,3756,VIC,"Chintin, VIC, 3756"
Chippendale,2008,NSW,"Chippendale, NSW, 2008"
Chipping Norton,2170,NSW,"Chipping Norton, NSW, 2170"
Chirnside,4723,QLD,"Chirnside, QLD, 4723"
Chirnside Park,3116,VIC,"Chirnside Park, VIC, 3116"
Chirrip,3525,VIC,"Chirrip, VIC, 3525"
Chisholm,2322,NSW,"Chisholm, NSW, 2322"
Chisholm,2905,ACT,"Chisholm, ACT, 2905"
Chiswick,2046,NSW,"Chiswick, NSW, 2046"
Chiton,5211,SA,"Chiton, SA, 5211"
Chittaway Bay,2261,NSW,"Chittaway Bay, NSW, 2261"
Chittaway Point,2261,NSW,"Chittaway Point, NSW, 2261"
Chittering,6084,WA,"Chittering, WA, 6084"
Chocolyn,3260,VIC,"Chocolyn, VIC, 3260"
Chorregon,4730,QLD,"Chorregon, QLD, 4730"
Chowan Creek,2484,NSW,"Chowan Creek, NSW, 2484"
Chowerup,6244,WA,"Chowerup, WA, 6244"
Chowilla,5341,SA,"Chowilla, SA, 5341"
Christie Downs,5164,SA,"Christie Downs, SA, 5164"
Christies Beach,5165,SA,"Christies Beach, SA, 5165"
Christmas Creek,4285,QLD,"Christmas Creek, QLD, 4285"
Christmas Hills,3775,VIC,"Christmas Hills, VIC, 3775"
Christmas Hills,7330,TAS,"Christmas Hills, TAS, 7330"
Christmas Island,6798,OT,"Christmas Island, OT, 6798"
Chudleigh,7304,TAS,"Chudleigh, TAS, 7304"
Chullora,2190,NSW,"Chullora, NSW, 2190"
Chum Creek,3777,VIC,"Chum Creek, VIC, 3777"
Church Point,2105,NSW,"Church Point, NSW, 2105"
Churchable,4311,QLD,"Churchable, QLD, 4311"
Churchill,3842,VIC,"Churchill, VIC, 3842"
Churchill,4305,QLD,"Churchill, QLD, 4305"
Churchill Island,3925,VIC,"Churchill Island, VIC, 3925"
Churchlands,6018,WA,"Churchlands, WA, 6018"
Chute,3373,VIC,"Chute, VIC, 3373"
Chuwar,4306,QLD,"Chuwar, QLD, 4306"
Ciccone,870,NT,"Ciccone, NT, 870"
Cinnabar,4600,QLD,"Cinnabar, QLD, 4600"
City,2601,ACT,"City, ACT, 2601"
City Beach,6015,WA,"City Beach, WA, 6015"
Clackline,6564,WA,"Clackline, WA, 6564"
Clagiraba,4211,QLD,"Clagiraba, QLD, 4211"
Clairview,4741,QLD,"Clairview, QLD, 4741"
Clandulla,2848,NSW,"Clandulla, NSW, 2848"
Clapham,5062,SA,"Clapham, SA, 5062"
Clara Creek,4468,QLD,"Clara Creek, QLD, 4468"
Claravale,822,NT,"Claravale, NT, 822"
Claraville,4871,QLD,"Claraville, QLD, 4871"
Clare,2711,NSW,"Clare, NSW, 2711"
Clare,4807,QLD,"Clare, QLD, 4807"
Clare,5453,SA,"Clare, SA, 5453"
Claremont,6010,WA,"Claremont, WA, 6010"
Claremont,7011,TAS,"Claremont, TAS, 7011"
Claremont Meadows,2747,NSW,"Claremont Meadows, NSW, 2747"
Clarence,2790,NSW,"Clarence, NSW, 2790"
Clarence Gardens,5039,SA,"Clarence Gardens, SA, 5039"
Clarence Park,5034,SA,"Clarence Park, SA, 5034"
Clarence Point,7270,TAS,"Clarence Point, TAS, 7270"
Clarence Town,2321,NSW,"Clarence Town, NSW, 2321"
Clarendon,2756,NSW,"Clarendon, NSW, 2756"
Clarendon,3352,VIC,"Clarendon, VIC, 3352"
Clarendon,4311,QLD,"Clarendon, QLD, 4311"
Clarendon,5157,SA,"Clarendon, SA, 5157"
Clarendon Vale,7019,TAS,"Clarendon Vale, TAS, 7019"
Clarenza,2460,NSW,"Clarenza, NSW, 2460"
Claretown,3352,VIC,"Claretown, VIC, 3352"
Clareville,2107,NSW,"Clareville, NSW, 2107"
Clarinda,3169,VIC,"Clarinda, VIC, 3169"
Clarke Creek,4705,QLD,"Clarke Creek, QLD, 4705"
Clarkefield,3430,VIC,"Clarkefield, VIC, 3430"
Clarkes Hill,3352,VIC,"Clarkes Hill, VIC, 3352"
Clarkson,6030,WA,"Clarkson, WA, 6030"
Claude Road,7306,TAS,"Claude Road, TAS, 7306"
Clay Wells,5280,SA,"Clay Wells, SA, 5280"
Clayfield,4011,QLD,"Clayfield, QLD, 4011"
Claymore,2559,NSW,"Claymore, NSW, 2559"
